Date,Open,High,Low,Close,Adjusted_close,Volume
2020-02-14,212.0000,212.0000,207.8400,210.6700,210.6700,0
2020-02-17,212.2000,217.7100,210.7000,217.3400,217.3400,0
2020-02-18,218.0000,226.2600,216.2900,224.5000,224.5000,0
2020-02-19,240.8700,246.0000,231.2000,231.2000,231.2000,0
2020-02-20,234.0000,238.6900,232.0000,232.8700,232.8700,0
2020-02-21,232.3300,238.4400,231.0200,233.7600,233.7600,0
2020-02-24,234.5700,236.1400,224.0000,224.0000,224.0000,0
2020-02-25,231.5200,235.5100,229.7400,234.2200,234.2200,0
2020-02-26,234.1600,240.0000,234.1600,239.2200,239.2200,0
2020-02-27,241.9400,243.4100,234.0000,235.9800,235.9800,0
2020-02-28,234.3400,239.0000,209.9300,221.5000,221.5000,0
2020-03-02,217.3200,227.9300,210.0900,214.9000,214.9000,0
2020-03-03,211.5600,216.4800,206.3200,207.5500,207.5500,0
2020-03-04,207.8100,210.0000,202.0000,209.7000,209.7000,0
2020-03-05,211.0000,213.9400,205.3200,212.0000,212.0000,0
2020-03-06,210.1500,216.8800,202.6100,212.8900,212.8900,0
2020-03-09,202.5000,205.6000,191.4100,202.9100,202.9100,0
2020-03-10,204.0300,208.5900,197.5800,199.0600,199.0600,0
2020-03-11,195.8800,197.9800,190.2700,191.6000,191.6000,0
2020-03-12,184.7300,187.5000,143.4800,157.0000,157.0000,0
2020-03-13,161.7900,169.8000,140.2200,140.2200,140.2200,0
2020-03-16,145.6100,153.7200,125.1300,130.9200,130.9200,0
2020-03-17,135.0000,153.0000,129.1200,144.4000,144.4000,0
2020-03-18,133.8900,142.5000,133.4400,140.5000,140.5000,0
2020-03-19,139.9900,149.0000,134.4100,148.4000,148.4000,0
2020-03-20,150.0000,151.9800,140.0000,145.2700,145.2700,0
2020-03-23,146.4200,146.4200,140.0200,145.2000,145.2000,0
2020-03-24,155.2300,171.9900,155.0100,170.5000,170.5000,0
2020-03-25,172.5000,206.0000,171.4000,201.0000,201.0000,0
2020-03-26,190.1300,203.0000,189.6000,194.0000,194.0000,0
2020-03-27,199.6400,204.5000,190.3600,196.5500,196.5500,0
2020-03-30,193.6500,194.9800,187.0100,194.9800,194.9800,0
2020-03-31,198.0000,209.3700,197.0000,205.6800,205.6800,0
2020-04-01,200.0000,205.6800,189.0000,193.0000,193.0000,0
2020-04-02,195.1100,200.0100,182.7500,190.0000,190.0000,0
2020-04-03,194.8700,196.3700,189.4000,190.9900,190.9900,0
2020-04-06,191.5200,193.5900,184.0000,188.2000,188.2000,0
2020-04-07,190.0000,194.2900,186.8300,192.2000,192.2000,0
2020-04-08,190.0000,192.7000,185.0100,190.0000,190.0000,0
2020-04-09,191.0000,191.3600,185.0000,188.4600,188.4600,0
2020-04-14,189.0000,196.0000,189.0000,189.5000,189.5000,0
2020-04-15,191.0000,194.3100,184.4000,187.7800,187.7800,0
2020-04-16,189.7400,192.8000,185.4200,190.4200,190.4200,0
2020-04-17,190.3300,191.1600,185.8200,189.5900,189.5900,0
2020-04-20,189.6000,192.6500,185.6300,185.6300,185.6300,0
2020-04-21,187.7700,187.7800,160.0800,167.7100,167.7100,0
2020-04-22,168.5800,172.9300,168.1000,169.8400,169.8400,0
2020-04-23,171.6300,181.0000,170.5000,180.8000,180.8000,0
2020-04-24,179.7100,179.9800,174.0000,176.7800,176.7800,0
2020-04-27,176.5000,179.1800,165.4400,168.3400,168.3400,0
2020-04-28,170.0000,171.4500,162.2600,168.6500,168.6500,0
2020-04-29,170.9800,173.5600,167.0000,171.0000,171.0000,0
2020-04-30,171.4600,179.3400,168.0000,170.1000,170.1000,0
2020-05-04,165.1500,166.9400,161.1700,161.1700,161.1700,0
2020-05-05,160.9000,162.2600,152.4400,154.0000,154.0000,0
2020-05-06,158.8900,158.8900,153.0000,156.0100,156.0100,0
2020-05-07,159.0000,162.6900,157.2000,157.2100,157.2100,0
2020-05-08,162.5400,166.5000,160.5000,163.1200,163.1200,0
2020-05-11,165.0000,169.0000,161.5000,161.5000,161.5000,0
2020-05-12,161.5000,165.5500,160.6100,163.8400,163.8400,0
2020-05-13,162.6300,162.6300,152.8200,154.7000,154.7000,0
2020-05-14,158.2900,159.6500,155.0000,155.0000,155.0000,0
2020-05-15,159.2500,163.0000,156.1200,163.0000,163.0000,0
2020-05-18,169.7600,178.8100,169.2200,172.5500,172.5500,0
2020-05-19,177.2800,182.0000,168.0600,176.7000,176.7000,0
2020-05-20,176.7300,182.3200,174.2000,180.0000,180.0000,0
2020-05-21,177.7600,180.8800,170.4700,170.4800,170.4800,0
2020-05-22,173.0200,175.2000,164.2000,168.2500,168.2500,0
2020-05-25,168.7000,170.4830,167.8300,170.0000,170.0000,0
2020-05-26,173.9300,174.5000,167.5000,169.2100,169.2100,0
2020-05-27,166.5100,171.1000,162.0000,168.2000,168.2000,0
2020-05-28,168.5700,170.3500,161.4800,161.4800,161.4800,0
2020-05-29,162.6200,164.9000,161.1000,162.3500,162.3500,0
2020-06-01,164.0300,167.9800,163.3000,167.0000,167.0000,0
2020-06-02,166.9900,167.9600,164.0000,165.2900,165.2900,0
2020-06-03,164.8300,166.9000,163.0000,163.0000,163.0000,0
2020-06-05,162.0000,162.9000,159.1900,162.9000,162.9000,0
2020-06-08,165.7700,168.0000,161.2200,168.0000,168.0000,0
2020-06-09,167.1900,168.5600,159.6000,160.5400,160.5400,0
2020-06-10,162.8600,162.9300,157.0000,159.9800,159.9800,0
2020-06-11,160.6600,162.0900,157.5100,159.0000,159.0000,0
2020-06-12,161.2800,163.0000,160.8700,162.8000,162.8000,0
2020-06-15,160.4900,161.0900,158.4200,159.6600,159.6600,0
2020-06-16,162.5300,163.9800,160.8600,160.8600,160.8600,0
2020-06-17,160.8000,162.2000,158.4200,160.3700,160.3700,0
2020-06-18,161.7000,162.2700,158.0000,161.6400,161.6400,0
2020-06-19,160.9400,161.7900,158.3200,159.8000,159.8000,0
2020-06-22,161.0400,163.0000,158.8700,158.8800,158.8800,0
2020-06-23,160.0200,163.4600,158.1400,159.5200,159.5200,0
2020-06-24,159.7700,161.7700,158.0000,158.4900,158.4900,0
2020-06-25,157.0900,159.0700,153.5100,154.1600,154.1600,0
2020-06-26,154.1700,156.8100,153.7100,154.6000,154.6000,0
2020-06-29,156.0700,159.3900,156.0700,158.6000,158.6000,0
2020-06-30,160.4400,161.2400,158.6000,159.0100,159.0100,0
2020-07-01,161.2000,161.9300,159.0000,159.0000,159.0000,0
2020-07-02,159.7700,160.8000,158.9100,160.2200,160.2200,0
2020-07-03,159.2500,160.0900,156.9100,160.0900,160.0900,0
2020-07-06,160.0000,161.0800,157.9900,161.0000,161.0000,0
2020-07-07,160.5000,161.9900,158.1400,159.9000,159.9000,0
2020-07-08,160.9000,161.9700,158.2400,158.2400,158.2400,0
2020-07-09,161.2000,167.0000,161.0700,162.8600,162.8600,0
2020-07-10,162.7000,163.9600,160.4000,163.9100,163.9100,0
2020-07-13,165.1900,170.5800,164.9600,165.6700,165.6700,0
2020-07-14,164.3500,165.7500,159.0600,159.2800,159.2800,0
2020-07-15,161.8500,162.6600,159.9600,161.9000,161.9000,0
2020-07-16,162.5900,165.9600,161.6600,164.5100,164.5100,0
2020-07-17,163.5100,168.4900,161.5300,168.4900,168.4900,0
2020-07-20,166.7600,170.0000,165.7700,169.5100,169.5100,0
2020-07-21,169.5100,179.0900,169.5100,177.8100,177.8100,0
2020-07-22,176.6300,177.9000,172.0000,175.5900,175.5900,0
2020-07-23,175.0200,176.9000,173.0000,174.5000,174.5000,0
2020-07-24,173.2200,179.5000,170.5000,178.0000,178.0000,0
2020-07-27,180.4000,186.7600,180.1000,183.6300,183.6300,0
2020-07-28,182.2100,184.6500,180.3300,183.8800,183.8800,0
2020-07-29,181.2000,182.0000,166.8300,170.7000,170.7000,0
2020-07-30,169.2600,169.2600,161.5100,164.2000,164.2000,0
2020-07-31,165.8100,168.0000,162.4800,167.8700,167.8700,0
2020-08-03,167.2400,170.7500,166.1100,167.5900,167.5900,0
2020-08-04,167.6500,169.8500,165.9800,169.5700,169.5700,0
2020-08-05,170.6900,173.5000,169.4100,172.4100,172.4100,0
2020-08-06,172.7400,178.9200,172.4100,175.5000,175.5000,0
2020-08-07,175.1000,175.1000,168.5000,171.0200,171.0200,0
2020-08-10,173.2900,184.4600,173.1800,183.0000,183.0000,0
2020-08-11,177.0000,178.4400,166.4600,169.1900,169.1900,0
2020-08-12,172.7400,173.5200,168.0000,169.0000,169.0000,0
2020-08-13,170.8700,174.2800,167.7600,173.0000,173.0000,0
2020-08-14,171.6600,172.4300,169.1800,169.6800,169.6800,0
2020-08-17,171.6000,173.9900,171.6000,172.9300,172.9300,0
2020-08-18,173.8600,176.1400,170.0000,173.9400,173.9400,0
2020-08-19,170.6000,172.8900,168.5000,169.3100,169.3100,0
2020-08-20,171.0000,174.0000,169.7000,173.1600,173.1600,0
2020-08-21,173.2000,174.5200,171.6800,174.3500,174.3500,0
2020-08-24,171.9500,174.9900,170.3500,173.3000,173.3000,0
2020-08-25,172.5800,174.0100,169.0000,170.8500,170.8500,0
2020-08-26,172.3500,174.0000,170.1100,174.0000,174.0000,0
2020-08-27,173.5000,175.0000,170.5000,171.5000,171.5000,0
2020-08-28,172.1400,173.6000,170.5000,172.4900,172.4900,0
2020-08-31,173.6000,179.5000,172.7300,179.0000,179.0000,0
2020-09-01,179.0000,180.7700,178.0400,180.2000,180.2000,0
2020-09-02,179.5600,180.9900,175.1900,179.0000,179.0000,0
2020-09-03,178.1400,189.0000,178.1400,184.9400,184.9400,0
2020-09-04,182.5800,182.8600,179.5100,181.7700,181.7700,0
2020-09-07,182.8900,184.3300,180.5500,182.0000,182.0000,0
2020-09-08,182.9200,184.8500,177.6000,179.0000,179.0000,0
2020-09-09,181.2300,183.9700,178.6300,182.8300,182.8300,0
2020-09-10,181.9800,183.3200,180.5200,183.0000,183.0000,0
2020-09-11,181.1900,184.3100,180.7400,183.9600,183.9600,0
2020-09-14,183.1000,185.4000,182.1400,184.6400,184.6400,0
2020-09-15,183.2800,187.0000,183.2000,187.0000,187.0000,0
2020-09-16,188.9000,190.7300,187.1800,189.6100,189.6100,0
2020-09-17,188.2300,189.0600,183.4000,184.5200,184.5200,0
2020-09-18,184.2900,186.7700,181.0100,184.9100,184.9100,0
2020-09-21,187.0400,188.5000,179.0100,179.3100,179.3100,0
2020-09-22,180.8000,183.3000,179.2300,179.2300,179.2300,0
2020-09-23,175.9200,183.0000,175.0000,182.7400,182.7400,0
2020-09-24,178.0800,179.7700,175.0400,176.7200,176.7200,0
2020-09-25,179.3000,180.0900,177.0000,180.0900,180.0900,0
2020-09-28,179.1900,182.9400,178.7400,181.5600,181.5600,0
2020-09-29,181.3000,184.9600,180.8000,183.8400,183.8400,0
2020-09-30,185.4700,187.5000,183.5100,187.2500,187.2500,0
2020-10-01,185.6000,186.9000,184.0000,186.6300,186.6300,0
2020-10-02,184.6700,185.6200,183.4700,183.9000,183.9000,0
2020-10-06,188.0000,189.0000,186.3200,186.9300,186.9300,0
2020-10-07,188.0100,188.7200,187.0000,188.2500,188.2500,0
2020-10-08,187.9000,191.9400,186.0500,189.0000,189.0000,0
2020-10-09,190.4900,195.8700,189.6400,195.8500,195.8500,0
2020-10-12,195.6500,196.1500,189.9300,190.5000,190.5000,0
2020-10-13,191.4900,193.9900,180.6400,183.4000,183.4000,0
