Date,Open,High,Low,Close,Adjusted_close,Volume
2020-02-17,138.6800,138.9700,138.5300,138.9000,138.9000,0
2020-02-18,139.4200,141.1400,139.3500,140.9300,140.9300,0
2020-02-19,141.4000,142.0400,141.2600,141.5200,141.5200,0
2020-02-20,141.7100,143.0100,141.6500,143.0000,143.0000,0
2020-02-21,144.0700,144.7800,143.1700,143.6900,143.6900,0
2020-02-24,147.3800,148.4700,146.2700,146.4000,146.4000,0
2020-02-25,143.9100,145.3800,142.8200,144.0000,144.0000,0
2020-02-26,143.9600,144.5900,142.2100,143.0000,143.0000,0
2020-02-27,143.5300,143.7500,142.1800,143.0400,143.0400,0
2020-02-28,140.7100,141.6300,135.9600,137.4200,137.4200,0
2020-03-02,137.4800,139.6200,135.6800,135.9600,135.9600,0
2020-03-03,136.3500,139.7800,135.9600,139.7800,139.7800,0
2020-03-04,139.4100,141.0000,138.8300,140.3000,140.3000,0
2020-03-05,140.0400,141.2600,139.6800,140.9700,140.9700,0
2020-03-06,141.4500,142.2500,138.2000,140.2300,140.2300,0
2020-03-09,139.7700,140.4500,126.0000,138.0000,138.0000,0
2020-03-10,139.1700,139.6000,138.1200,139.0500,139.0500,0
2020-03-11,139.5500,140.1400,138.6700,138.9500,138.9500,0
2020-03-12,138.0000,139.4200,125.0000,135.0000,135.0000,0
2020-03-13,135.3000,136.9000,130.3000,131.1800,131.1800,0
2020-03-16,131.1800,131.1800,123.5900,128.4500,128.4500,0
2020-03-17,126.6200,134.5000,124.0300,132.8700,132.8700,0
2020-03-18,130.3500,132.3500,128.3800,130.4300,130.4300,0
2020-03-19,130.2700,131.6200,129.0200,130.9200,130.9200,0
2020-03-20,133.1300,134.1800,131.2600,132.0000,132.0000,0
2020-03-23,132.4900,137.1600,131.9300,136.7100,136.7100,0
2020-03-24,138.0000,143.9800,138.0000,143.5000,143.5000,0
2020-03-25,141.7800,143.2400,140.0100,141.8800,141.8800,0
2020-03-26,139.9700,142.4200,139.2400,140.6000,140.6000,0
2020-03-27,140.1100,141.5000,139.2500,140.0400,140.0400,0
2020-03-30,139.1800,140.3100,138.3300,139.4200,139.4200,0
2020-03-31,139.5700,139.9600,138.4200,139.0000,139.0000,0
2020-04-01,137.6900,138.9700,136.4600,137.9900,137.9900,0
2020-04-02,138.5300,141.5000,137.7800,140.8400,140.8400,0
2020-04-03,141.5000,143.0000,141.1000,142.4500,142.4500,0
2020-04-06,142.9600,145.5500,142.8000,144.8000,144.8000,0
2020-04-07,145.7500,145.9900,143.0000,144.6400,144.6400,0
2020-04-08,144.4800,145.2000,143.2700,144.6000,144.6000,0
2020-04-09,144.8500,146.7000,144.2300,146.0800,146.0800,0
2020-04-14,148.0000,151.4400,147.7500,150.4300,150.4300,0
2020-04-15,149.0000,151.0600,148.3000,149.6700,149.6700,0
2020-04-16,150.4400,151.9500,150.0200,151.5100,151.5100,0
2020-04-17,149.2300,149.2600,147.0000,148.0000,148.0000,0
2020-04-20,147.1900,148.4000,145.9100,148.4000,148.4000,0
2020-04-21,148.6000,149.0900,145.4000,147.0500,147.0500,0
2020-04-22,147.2900,150.2000,147.2900,150.0600,150.0600,0
2020-04-23,151.0000,152.8600,150.1300,152.1100,152.1100,0
2020-04-24,153.0700,153.5800,150.7400,150.8500,150.8500,0
2020-04-27,150.5100,151.3000,149.6000,150.2900,150.2900,0
2020-04-28,149.7400,149.9900,148.2800,149.4500,149.4500,0
2020-04-29,149.7600,150.0300,148.5600,149.1700,149.1700,0
2020-04-30,150.0600,150.7900,147.9000,147.9000,147.9000,0
2020-05-04,148.0500,149.0000,147.6800,148.4400,148.4400,0
2020-05-05,148.4000,149.4200,147.8300,148.9700,148.9700,0
2020-05-06,149.7100,150.1900,148.1000,148.5700,148.5700,0
2020-05-07,148.6900,150.0400,148.4800,149.8400,149.8400,0
2020-05-08,150.5200,151.1000,149.7200,149.7800,149.7800,0
2020-05-11,149.6200,150.2900,148.5900,149.2300,149.2300,0
2020-05-12,149.2400,149.9800,148.6300,149.3900,149.3900,0
2020-05-13,149.3200,150.7300,148.9500,150.4200,150.4200,0
2020-05-14,151.1900,152.6800,150.5600,152.5600,152.5600,0
2020-05-15,152.6600,153.4400,152.0100,153.3300,153.3300,0
2020-05-18,154.5100,155.2900,150.5300,151.4900,151.4900,0
2020-05-19,150.1900,151.7700,149.8900,151.2500,151.2500,0
2020-05-20,152.0000,152.3000,150.7300,151.2800,151.2800,0
2020-05-21,150.5200,150.7800,148.6400,149.4000,149.4000,0
2020-05-22,150.7100,151.6900,150.4800,151.1100,151.1100,0
2020-05-25,150.7000,151.1100,150.0000,150.8800,150.8800,0
2020-05-26,150.5200,150.6900,147.8600,148.5900,148.5900,0
2020-05-27,147.9000,148.5600,146.2400,147.1700,147.1700,0
2020-05-28,148.1200,149.0500,147.8700,147.8900,147.8900,0
2020-05-29,147.2400,148.5300,147.0100,148.3900,148.3900,0
2020-06-01,148.4800,149.1600,147.5200,148.7300,148.7300,0
2020-06-02,148.4900,148.4900,147.2600,147.4400,147.4400,0
2020-06-03,146.1600,146.5200,143.0000,143.5300,143.5300,0
2020-06-05,142.8100,143.8300,140.0900,140.7300,140.7300,0
2020-06-08,142.4800,142.9900,141.6900,142.3700,142.3700,0
2020-06-09,142.9600,144.5500,142.9500,143.7000,143.7000,0
2020-06-10,143.7300,144.4400,143.5000,143.6900,143.6900,0
2020-06-11,145.0300,145.6600,143.7700,145.5600,145.5600,0
2020-06-12,145.5800,146.9800,145.2400,146.3600,146.3600,0
2020-06-15,145.7200,146.3400,143.7900,145.1900,145.1900,0
2020-06-16,144.5700,146.2600,144.1400,145.7300,145.7300,0
2020-06-17,145.5300,146.3800,144.8000,146.0300,146.0300,0
2020-06-18,145.8100,146.6700,145.2000,145.8400,145.8400,0
2020-06-19,146.5400,148.1000,146.3200,147.8300,147.8300,0
2020-06-22,148.5400,148.9500,147.7900,148.3000,148.3000,0
2020-06-23,147.3500,148.2900,147.1800,148.1800,148.1800,0
2020-06-24,148.5800,149.8000,148.4800,148.8100,148.8100,0
2020-06-25,149.2000,149.5600,148.7000,148.9600,148.9600,0
2020-06-26,149.2500,149.5500,148.2100,149.5000,149.5000,0
2020-06-29,149.4400,149.9700,148.7300,149.6100,149.6100,0
2020-06-30,150.1000,151.0000,149.6300,150.6800,150.6800,0
2020-07-01,151.0000,151.6200,148.3700,148.6600,148.6600,0
2020-07-02,149.0100,150.4400,148.2500,150.3000,150.3000,0
2020-07-03,150.1000,150.3300,149.8300,150.0000,150.0000,0
2020-07-06,149.4800,149.8900,149.0900,149.8500,149.8500,0
2020-07-07,149.9700,151.2000,149.3300,150.8100,150.8100,0
2020-07-08,151.1300,152.3400,150.9000,151.7100,151.7100,0
2020-07-09,151.5600,152.3000,151.2100,151.4000,151.4000,0
2020-07-10,151.4600,152.4500,151.0100,151.0100,151.0100,0
2020-07-13,151.0500,152.0500,150.6400,150.9900,150.9900,0
2020-07-14,150.8100,150.9600,149.7600,150.7700,150.7700,0
2020-07-15,150.4300,150.7500,149.6700,150.4500,150.4500,0
2020-07-16,150.4300,150.7000,149.8400,149.9500,149.9500,0
