Date,Open,High,Low,Close,Adjusted_close,Volume
2024-12-18,35.2950,35.6500,35.2950,35.5550,35.5550,0
2024-12-19,35.3100,35.3550,35.1950,35.2900,35.2900,0
2024-12-20,35.4050,35.4900,35.1750,35.3650,35.3650,0
2024-12-23,35.4000,35.6000,35.2000,35.2200,35.2200,0
2024-12-30,35.5400,35.5400,35.3000,35.3200,35.3200,0
2025-01-02,34.9350,35.2650,34.7800,35.2650,35.2650,0
2025-01-03,35.2900,35.5000,35.1350,35.5000,35.5000,0
2025-01-06,35.4800,36.2900,35.4700,36.1950,36.1950,0
2025-01-07,36.0700,36.4500,36.0250,36.3500,36.3500,0
2025-01-08,36.5000,37.1750,36.4000,37.0600,37.0600,0
2025-01-09,37.4200,37.8800,37.3900,37.5550,37.5550,0
2025-01-10,37.8400,38.1750,37.6750,37.7250,37.7250,0
2025-01-13,37.9300,38.2750,37.7450,38.1350,38.1350,0
2025-01-14,38.0450,38.0900,37.8250,37.8850,37.8850,0
2025-01-15,37.8750,38.3000,37.7000,38.3000,38.3000,0
2025-01-16,38.6450,38.8400,38.4700,38.6100,38.6100,0
2025-01-17,38.9550,39.0350,38.0600,38.1500,38.1500,0
2025-01-20,38.0350,38.0350,37.1950,37.1950,37.1950,0
2025-01-21,37.1650,37.6500,37.0850,37.5000,37.5000,0
2025-01-22,37.1350,37.3450,37.0000,37.1050,37.1050,0
2025-01-23,36.8700,37.3050,36.8350,37.2900,37.2900,0
2025-01-24,37.7000,37.7000,37.0050,37.0150,37.0150,0
2025-01-27,36.7050,36.8000,36.3850,36.4200,36.4200,0
2025-01-28,36.7650,36.8800,36.6400,36.6750,36.6750,0
2025-01-29,36.4400,37.2500,36.4250,37.1950,37.1950,0
2025-01-30,36.9800,37.4250,36.9800,37.3950,37.3950,0
2025-01-31,37.3450,37.3600,37.0250,37.0500,37.0500,0
2025-02-03,37.1650,37.6200,37.1650,37.5950,37.5950,0
2025-02-04,37.7650,37.9300,37.6100,37.8100,37.8100,0
2025-02-05,38.0350,38.1100,37.6100,38.0500,38.0500,0
2025-02-06,38.9200,39.1200,38.3950,38.6300,38.6300,0
2025-02-07,39.1200,40.1200,39.0250,39.8450,39.8450,0
